country,code,year,emissions/capita,gdp/capita,population,continent
Algeria,DZA,1951,0.44556665,2147,9271741,Africa
Algeria,DZA,1950,0.41947463,2176,9019866,Africa
Algeria,DZA,1953,0.4092442,2182,9771686,Africa
Algeria,DZA,1952,0.40845707,2193,9521703,Africa
Algeria,DZA,1962,0.48063192,2284,11778265,Africa
Algeria,DZA,1954,0.41475123,2291,10011548,Africa
Algeria,DZA,1955,0.44976026,2303,10242297,Africa
Algeria,DZA,1956,0.47693816,2475,10473167,Africa
Algeria,DZA,1957,0.51732713,2699,10703259,Africa
Algeria,DZA,1958,0.4768813,2740,10933788,Africa
Algeria,DZA,1966,0.6676125,2750,12613398,Africa
Algeria,DZA,1963,0.45274884,2818,11969449,Africa
Algeria,DZA,1961,0.5221244,2868,11598615,Africa
Algeria,DZA,1964,0.46333846,2879,12179097,Africa
Algeria,DZA,1967,0.6537573,2907,12897121,Africa
Algeria,DZA,1965,0.53213745,2981,12381262,Africa
Algeria,DZA,1968,0.6860928,3151,13190979,Africa
Algeria,DZA,1959,0.5066991,3178,11164451,Africa
Algeria,DZA,1971,1.3216991,3188,14110269,Africa
Algeria,DZA,1960,0.539852,3328,11394309,Africa
Algeria,DZA,1969,0.8348491,3355,13491022,Africa
Algeria,DZA,1970,1.0915521,3585,13795915,Africa
Algeria,DZA,1972,1.9614357,3746,14439750,Africa
Algeria,DZA,1973,2.588677,3757,14786473,Africa
Algeria,DZA,1974,2.10357,3870,15153601,Africa
Algeria,DZA,1975,2.0350919,4020,15724698,Africa
Algeria,DZA,1976,2.3715057,4157,16500516,Africa
Algeria,DZA,1977,2.442187,4398,17134196,Africa
Algeria,DZA,1990,3.0071871,4697,25518074,Africa
Algeria,DZA,1991,3.0155015,4708.232,26133906,Africa
Algeria,DZA,1978,3.5420244,4812,17632646,Africa
Algeria,DZA,1993,2.9956493,4816.924,27354326,Africa
Algeria,DZA,1988,3.4528713,4850,24243024,Africa
Algeria,DZA,1992,2.9864817,4850.223,26748302,Africa
Algeria,DZA,1994,3.0836332,4856.9854,27937006,Africa
Algeria,DZA,1989,3.2065012,4889,24889516,Africa
Algeria,DZA,1981,2.3947668,4991,19351356,Africa
Algeria,DZA,1980,3.5442193,5024,18739378,Africa
Algeria,DZA,1979,2.507051,5088,18166982,Africa
Algeria,DZA,1987,3.5564804,5088,23586098,Africa
Algeria,DZA,1995,3.335253,5142.384,28478024,Africa
Algeria,DZA,1982,1.958642,5145,20000098,Africa
Algeria,DZA,1983,2.538615,5243,20682110,Africa
Algeria,DZA,1986,3.32482,5262,22882560,Africa
Algeria,DZA,1984,3.316261,5361,21393532,Africa
Algeria,DZA,1996,3.3392265,5451.6343,28984640,Africa
Algeria,DZA,1985,3.2805932,5469,22132910,Africa
Algeria,DZA,1997,2.9517105,5638.48,29476030,Africa
Algeria,DZA,1998,3.562981,6069.7773,29924664,Africa
Algeria,DZA,1999,3.020759,6421.5083,30346086,Africa
Algeria,DZA,2000,2.6717145,6834.5537,30774624,Africa
Algeria,DZA,2001,2.6851783,7218.2456,31200984,Africa
Algeria,DZA,2002,2.8271236,7814.8384,31624700,Africa
Algeria,DZA,2003,2.8403025,8590.178,32055882,Africa
Algeria,DZA,2004,2.7023332,9182.294,32510184,Africa
Algeria,DZA,2005,3.2306898,9969.623,32956690,Africa
Algeria,DZA,2006,2.9969378,10385.779,33435082,Africa
Algeria,DZA,2007,3.1898088,10974.742,33983836,Africa
Algeria,DZA,2008,3.153985,11475.002,34569592,Africa
Algeria,DZA,2009,3.4147267,11907.021,35196040,Africa
Algeria,DZA,2010,3.2856946,12587.744,35856348,Africa
Algeria,DZA,2011,3.278487,13204,36543548,Africa
Algeria,DZA,2012,3.64123,13379,37260568,Africa
Algeria,DZA,2013,3.7048435,13494,38000628,Africa
Algeria,DZA,2014,3.9030473,13744,38760168,Africa
Algeria,DZA,2015,4.0484247,14004,39543148,Africa
